idx,ok,instance,zone,node,namespace,pod,server_url,elapsed_s,error
0,True,l4-vm-290,europe-west4-c,l4-vm-290.c.ebim26ham-290.internal,binder,jupyter-yxzhan-ebim-vrb-lab-pozm0srl,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-pozm0srl/,13.0,
1,True,l4-vm-288,europe-west4-c,l4-vm-288.c.ebim26ham-288.internal,binder,jupyter-yxzhan-ebim-vrb-lab-uykrmkm7,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-uykrmkm7/,14.5,
2,True,l4-vm-282,us-central1-c,l4-vm-282.c.ebim26ham-282.internal,binder,jupyter-yxzhan-ebim-vrb-lab-cwxj1qt0,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-cwxj1qt0/,17.8,
3,True,l4-vm-289,europe-west4-c,l4-vm-289.c.ebim26ham-289.internal,binder,jupyter-yxzhan-ebim-vrb-lab-zzv9ww3x,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-zzv9ww3x/,12.7,
4,True,l4-vm-284,europe-west4-c,l4-vm-284.c.ebim26ham-284.internal,binder,jupyter-yxzhan-ebim-vrb-lab-acllr9yp,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-acllr9yp/,14.3,
5,True,l4-vm-288,europe-west4-c,l4-vm-288.c.ebim26ham-288.internal,binder,jupyter-yxzhan-ebim-vrb-lab-dr1mlxvk,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-dr1mlxvk/,14.4,
6,True,l4-vm-290,europe-west4-c,l4-vm-290.c.ebim26ham-290.internal,binder,jupyter-yxzhan-ebim-vrb-lab-3yjjl30q,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-3yjjl30q/,13.2,
7,True,l4-vm-289,europe-west4-c,l4-vm-289.c.ebim26ham-289.internal,binder,jupyter-yxzhan-ebim-vrb-lab-d1qt17sp,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-d1qt17sp/,14.5,
8,True,l4-vm-282,us-central1-c,l4-vm-282.c.ebim26ham-282.internal,binder,jupyter-yxzhan-ebim-vrb-lab-bf126g2m,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-bf126g2m/,16.3,
9,True,l4-vm-284,europe-west4-c,l4-vm-284.c.ebim26ham-284.internal,binder,jupyter-yxzhan-ebim-vrb-lab-wme4yog1,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-wme4yog1/,15.2,
10,True,l4-vm-281,europe-west4-c,l4-vm-281.c.ebim26ham-281.internal,binder,jupyter-yxzhan-ebim-vrb-lab-t5130jia,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-t5130jia/,12.1,
11,True,l4-vm-281,europe-west4-c,l4-vm-281.c.ebim26ham-281.internal,binder,jupyter-yxzhan-ebim-vrb-lab-x7pltbz8,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-x7pltbz8/,12.0,
12,True,l4-vm-286,us-east1-b,l4-vm-286.c.ebim26ham-286.internal,binder,jupyter-yxzhan-ebim-vrb-lab-0w29z2y4,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-0w29z2y4/,15.4,
13,True,l4-vm-286,us-east1-b,l4-vm-286.c.ebim26ham-286.internal,binder,jupyter-yxzhan-ebim-vrb-lab-7dvuqufj,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-7dvuqufj/,17.2,
14,True,l4-vm-287,us-west4-c,l4-vm-287.c.ebim26ham-287.internal,binder,jupyter-yxzhan-ebim-vrb-lab-ka5l8aid,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-ka5l8aid/,16.4,
15,True,l4-vm-287,us-west4-c,l4-vm-287.c.ebim26ham-287.internal,binder,jupyter-yxzhan-ebim-vrb-lab-qdv38d51,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-qdv38d51/,17.3,
16,True,l4-vm-283,us-west4-c,l4-vm-283.c.ebim26ham-283.internal,binder,jupyter-yxzhan-ebim-vrb-lab-891f6mml,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-891f6mml/,15.1,
17,True,l4-vm-283,us-west4-c,l4-vm-283.c.ebim26ham-283.internal,binder,jupyter-yxzhan-ebim-vrb-lab-oy7qf5xt,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-oy7qf5xt/,15.8,
18,True,l4-vm-285,us-east1-b,l4-vm-285.c.ebim26ham-285.internal,binder,jupyter-yxzhan-ebim-vrb-lab-bg0t4a27,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-bg0t4a27/,15.0,
19,True,l4-vm-285,us-east1-b,l4-vm-285.c.ebim26ham-285.internal,binder,jupyter-yxzhan-ebim-vrb-lab-em00yi1t,https://ebim-jupyter.aicor.dev/user/yxzhan-ebim-vrb-lab-em00yi1t/,16.9,
